entry,camera,metric
FRONT_LEFT/pipelineIndexState,FRONT_LEFT,
FRONT_LEFT/driverMode,FRONT_LEFT,
FRONT_LEFT/latencyMillis,FRONT_LEFT,LATENCY
FRONT_LEFT/hasTarget,FRONT_LEFT,HAS_TARGET
FRONT_LEFT/targetPitch,FRONT_LEFT,
FRONT_LEFT/targetYaw,FRONT_LEFT,
FRONT_LEFT/targetArea,FRONT_LEFT,
FRONT_LEFT/targetSkew,FRONT_LEFT,
FRONT_LEFT/targetPose,FRONT_LEFT,
FRONT_LEFT/targetPixelsX,FRONT_LEFT,
FRONT_LEFT/targetPixelsY,FRONT_LEFT,
FRONT_LEFT/heartbeat,FRONT_LEFT,
REAR_RIGHT/pipelineIndexState,REAR_RIGHT,
REAR_RIGHT/driverMode,REAR_RIGHT,
REAR_RIGHT/latencyMillis,REAR_RIGHT,LATENCY
REAR_RIGHT/hasTarget,REAR_RIGHT,HAS_TARGET
REAR_RIGHT/targetPitch,REAR_RIGHT,
REAR_RIGHT/targetYaw,REAR_RIGHT,
REAR_RIGHT/targetArea,REAR_RIGHT,
REAR_RIGHT/targetSkew,REAR_RIGHT,
REAR_RIGHT/targetPose,REAR_RIGHT,
REAR_RIGHT/targetPixelsX,REAR_RIGHT,
REAR_RIGHT/targetPixelsY,REAR_RIGHT,
REAR_RIGHT/heartbeat,REAR_RIGHT,
REAR_LEFT/pipelineIndexState,REAR_LEFT,
REAR_LEFT/driverMode,REAR_LEFT,
REAR_LEFT/latencyMillis,REAR_LEFT,LATENCY
REAR_LEFT/hasTarget,REAR_LEFT,HAS_TARGET
REAR_LEFT/targetPitch,REAR_LEFT,
REAR_LEFT/targetYaw,REAR_LEFT,
REAR_LEFT/targetArea,REAR_LEFT,
REAR_LEFT/targetSkew,REAR_LEFT,
REAR_LEFT/targetPose,REAR_LEFT,
REAR_LEFT/targetPixelsX,REAR_LEFT,
REAR_LEFT/targetPixelsY,REAR_LEFT,
REAR_LEFT/heartbeat,REAR_LEFT,
