entry,subsystem,assembly,subassembly,component,metric
Phoenix6/TalonFX-11/SupplyVoltage,DRIVETRAIN,FRONT_LEFT,DRIVE,MOTOR,VOLTAGE
Phoenix6/TalonFX-11/SupplyCurrent,DRIVETRAIN,FRONT_LEFT,DRIVE,MOTOR,CURRENT
Phoenix6/TalonFX-11/Velocity,DRIVETRAIN,FRONT_LEFT,DRIVE,MOTOR,VELOCITY
Phoenix6/TalonFX-11/Position,DRIVETRAIN,FRONT_LEFT,DRIVE,MOTOR,POSITION
Phoenix6/TalonFX-11/DeviceTemp,DRIVETRAIN,FRONT_LEFT,DRIVE,MOTOR,TEMP
Phoenix6/TalonFX-12/SupplyVoltage,DRIVETRAIN,FRONT_LEFT,STEER,MOTOR,VOLTAGE
Phoenix6/TalonFX-12/SupplyCurrent,DRIVETRAIN,FRONT_LEFT,STEER,MOTOR,CURRENT
Phoenix6/TalonFX-12/Velocity,DRIVETRAIN,FRONT_LEFT,STEER,MOTOR,VELOCITY
Phoenix6/TalonFX-12/Position,DRIVETRAIN,FRONT_LEFT,STEER,MOTOR,POSITION
Phoenix6/TalonFX-12/DeviceTemp,DRIVETRAIN,FRONT_LEFT,STEER,MOTOR,TEMP
Phoenix6/TalonFX-21/SupplyVoltage,DRIVETRAIN,FRONT_RIGHT,DRIVE,MOTOR,VOLTAGE
Phoenix6/TalonFX-21/SupplyCurrent,DRIVETRAIN,FRONT_RIGHT,DRIVE,MOTOR,CURRENT
Phoenix6/TalonFX-21/Velocity,DRIVETRAIN,FRONT_RIGHT,DRIVE,MOTOR,VELOCITY
Phoenix6/TalonFX-21/Position,DRIVETRAIN,FRONT_RIGHT,DRIVE,MOTOR,POSITION
Phoenix6/TalonFX-21/DeviceTemp,DRIVETRAIN,FRONT_RIGHT,DRIVE,MOTOR,TEMP
Phoenix6/TalonFX-22/SupplyVoltage,DRIVETRAIN,FRONT_RIGHT,STEER,MOTOR,VOLTAGE
Phoenix6/TalonFX-22/SupplyCurrent,DRIVETRAIN,FRONT_RIGHT,STEER,MOTOR,CURRENT
Phoenix6/TalonFX-22/Velocity,DRIVETRAIN,FRONT_RIGHT,STEER,MOTOR,VELOCITY
Phoenix6/TalonFX-22/Position,DRIVETRAIN,FRONT_RIGHT,STEER,MOTOR,POSITION
Phoenix6/TalonFX-22/DeviceTemp,DRIVETRAIN,FRONT_RIGHT,STEER,MOTOR,TEMP
Phoenix6/TalonFX-31/SupplyVoltage,DRIVETRAIN,BACK_LEFT,DRIVE,MOTOR,VOLTAGE
Phoenix6/TalonFX-31/SupplyCurrent,DRIVETRAIN,BACK_LEFT,DRIVE,MOTOR,CURRENT
Phoenix6/TalonFX-31/Velocity,DRIVETRAIN,BACK_LEFT,DRIVE,MOTOR,VELOCITY
Phoenix6/TalonFX-31/Position,DRIVETRAIN,BACK_LEFT,DRIVE,MOTOR,POSITION
Phoenix6/TalonFX-31/DeviceTemp,DRIVETRAIN,BACK_LEFT,DRIVE,MOTOR,TEMP
Phoenix6/TalonFX-32/SupplyVoltage,DRIVETRAIN,BACK_LEFT,STEER,MOTOR,VOLTAGE
Phoenix6/TalonFX-32/SupplyCurrent,DRIVETRAIN,BACK_LEFT,STEER,MOTOR,CURRENT
Phoenix6/TalonFX-32/Velocity,DRIVETRAIN,BACK_LEFT,STEER,MOTOR,VELOCITY
Phoenix6/TalonFX-32/Position,DRIVETRAIN,BACK_LEFT,STEER,MOTOR,POSITION
Phoenix6/TalonFX-32/DeviceTemp,DRIVETRAIN,BACK_LEFT,STEER,MOTOR,TEMP
Phoenix6/TalonFX-41/SupplyVoltage,DRIVETRAIN,BACK_RIGHT,DRIVE,MOTOR,VOLTAGE
Phoenix6/TalonFX-41/SupplyCurrent,DRIVETRAIN,BACK_RIGHT,DRIVE,MOTOR,CURRENT
Phoenix6/TalonFX-41/Velocity,DRIVETRAIN,BACK_RIGHT,DRIVE,MOTOR,VELOCITY
Phoenix6/TalonFX-41/Position,DRIVETRAIN,BACK_RIGHT,DRIVE,MOTOR,POSITION
Phoenix6/TalonFX-41/DeviceTemp,DRIVETRAIN,BACK_RIGHT,DRIVE,MOTOR,TEMP
Phoenix6/TalonFX-42/SupplyVoltage,DRIVETRAIN,BACK_RIGHT,STEER,MOTOR,VOLTAGE
Phoenix6/TalonFX-42/SupplyCurrent,DRIVETRAIN,BACK_RIGHT,STEER,MOTOR,CURRENT
Phoenix6/TalonFX-42/Velocity,DRIVETRAIN,BACK_RIGHT,STEER,MOTOR,VELOCITY
Phoenix6/TalonFX-42/Position,DRIVETRAIN,BACK_RIGHT,STEER,MOTOR,POSITION
Phoenix6/TalonFX-42/DeviceTemp,DRIVETRAIN,BACK_RIGHT,STEER,MOTOR,TEMP
