entry,subsystem,component,part,type,metric
NT:/FMSInfo/.type,FMS,,,,
NT:/FMSInfo/GameSpecificMessage,FMS,,,,
NT:/FMSInfo/EventName,FMS,,,,
NT:/FMSInfo/MatchNumber,FMS,,,,
NT:/FMSInfo/ReplayNumber,FMS,,,,
NT:/FMSInfo/MatchType,FMS,,,,
NT:/FMSInfo/IsRedAlliance,FMS,,,,
NT:/FMSInfo/StationNumber,FMS,,,,
NT:/FMSInfo/FMSControlData,FMS,,,,
NT:/Preferences/auto/D,PREFERENCES,,,,
NT:/Preferences/auto/P,PREFERENCES,,,,
NT:/Preferences/auto/rotationP,PREFERENCES,,,,
NT:/Preferences/auto/rotationD,PREFERENCES,,,,
NT:/Preferences/intake/positionkP,PREFERENCES,,,,
NT:/Preferences/intake/positionkI,PREFERENCES,,,,
NT:/Preferences/intake/positionkD,PREFERENCES,,,,
NT:/Preferences/shooter/RPMkP,PREFERENCES,,,,
NT:/Preferences/shooter/RPMkI,PREFERENCES,,,,
NT:/Preferences/shooter/RPMkD,PREFERENCES,,,,
NT:/Preferences/shooter/RPMkF,PREFERENCES,,,,
NT:/Preferences/shooter/PositionkP,PREFERENCES,,,,
NT:/Preferences/shooter/PositionkI,PREFERENCES,,,,
NT:/Preferences/shooter/PositionkD,PREFERENCES,,,,
NT:/Preferences/climber/kP,PREFERENCES,,,,
NT:/Preferences/climber/kI,PREFERENCES,,,,
NT:/Preferences/climber/kD,PREFERENCES,,,,
NT:/Preferences/climber/power,PREFERENCES,,,,
NT:/Preferences/intake/intakePower,PREFERENCES,,,,
NT:/Preferences/intake/intakePosition,PREFERENCES,,,,
NT:/Preferences/intake/outtakePower,PREFERENCES,,,,
NT:/Preferences/umbrella/Power,PREFERENCES,,,,
NT:/Preferences/shooter/Power,PREFERENCES,,,,
NT:/Preferences/shooter/RPM,PREFERENCES,,,,
NT:/Preferences/shooter/Position,PREFERENCES,,,,
NT:/Preferences/shooter/IndexPower,PREFERENCES,,,,
NT:/Preferences/shooter/ShootingIndexPower,PREFERENCES,,,,
NT:/Preferences/shooter/OuttakePower,PREFERENCES,,,,
NT:/Preferences/shooter/shootingPosition,PREFERENCES,,,,
NT:/Preferences/shooter/OutdexPower,PREFERENCES,,,,
NT:/Preferences/shooter/preSpinDistanceM,PREFERENCES,,,,
NT:/Preferences/shooter/homeposition,PREFERENCES,,,,
NT:/Preferences/climber/UpPower,PREFERENCES,,,,
NT:/Preferences/climber/DownPower,PREFERENCES,,,,
